count,ingredient,normalized
35100,salt,
21696,olive oil,
20950,butter,
20065,all-purpose flour,flour
18457,water,
16220,white sugar,sugar
16146,sugar,
13123,vanilla extract,
13072,eggs,egg
12018,vegetable oil,
11026,milk,
9272,cloves garlic,garlic
8661,ground cinnamon,cinnamon
8296,baking powder,
7671,unsalted butter,butter
7253,baking soda,
6549,egg,
6351,onion,
6127,ground black pepper,pepper
6081,garlic cloves,garlic
5819,lemon juice,
5628,fresh lemon juice,lemon juice
5451,extra-virgin olive oil,olive oil
5007,honey,
4962,large eggs,egg
4678,brown sugar,sugar
4512,salt and freshly ground black pepper,pepper
4293,soy sauce,
4224,ground cumin,
4140,sour cream,
4066,garlic powder,
4021,cornstarch,
3943,mayonnaise,
3813,salt and pepper to taste,pepper
3798,butter or margarine,butter
3743,grated Parmesan cheese,
3646,clove garlic,garlic
3592,confectioners' sugar,sugar
3512,packed brown sugar,sugar
3413,kosher salt,salt
3361,lemon,
3356,heavy cream,
3343,chopped onion,onion
3257,chopped fresh parsley,parsley
3230,pepper,
3205,garlic clove,garlic
3139,dried oregano,oregano
3088,shredded Cheddar cheese,Cheddar cheese
3059,salt and ground black pepper to taste,pepper
3052,ground nutmeg,
2979,Worcestershire sauce,
2928,Dijon mustard,
2773,freshly ground black pepper,pepper
2747,large onion,onion
2720,chicken broth,
2707,black pepper,pepper
2701,minced garlic,garlic
2655,chili powder,
2595,ground ginger,
2514,small onion,onion
2499,fresh lime juice,lime juice
2477,chopped fresh cilantro,cilantro
2464,medium onion,onion
2461,paprika,
2457,chopped walnuts,walnut
2348,cayenne pepper,
2331,package cream cheese,cream cheese
2323,dry white wine,white wine
2315,skinless,
2269,orange juice,
2252,ground beef,
2226,balsamic vinegar,
2187,green onions,
2099,pinch salt,salt
2098,all purpose flour,flour
2082,whole milk,milk
2055,raisins,raisin
2029,chopped pecans,
2010,canola oil,vegetable oil
1994,carrots,
1975,large egg,egg
1971,granulated sugar,sugar
1947,shortening,
1924,dried thyme,
1904,salt to taste,salt
1791,dried basil,
1780,red bell pepper,
1775,whipping cream,heavy cream
1759,red wine vinegar,
1755,buttermilk,
1724,ground cloves,
1715,unsweetened cocoa powder,
1672,heavy whipping cream,heavy cream
1663,ketchup,
1644,bay leaf,
1630,semisweet chocolate chips,
1603,Kosher salt,salt
1580,lime,
1579,green bell pepper,
1562,vanilla,vanilla extract
1531,egg whites,egg
1530,lime juice,
1500,cold water,water
1457,bay leaves,bay leaf
1449,shredded mozzarella cheese,
1441,cider vinegar,
1434,margarine,
1428,extra virgin olive oil,olive oil
1409,boiling water,water
1400,curry powder,
1382,onion powder,
1355,red onion,
1344,onions,onion
1329,almond extract,
1328,large garlic cloves,garlic
1324,egg yolks,egg
1288,free-range eggs,egg
1276,ground allspice,
1272,white wine vinegar,
1259,large egg yolks,egg
1243,slices bacon,
1237,chopped celery,celery
1225,chopped fresh basil,
1213,stalks celery,celery
1143,lean ground beef,ground beef
1124,flour,
1104,sesame oil,
1097,powdered sugar,sugar
1090,ground black pepper to taste,pepper
1090,cooking spray,
1083,grated lemon peel,lemon
1077,sesame seeds,
1074,light corn syrup,
1063,potatoes,potato
1062,cream cheese,
1044,tomatoes,tomato
1039,ground coriander,
1038,tomato paste,
1027,peanut butter,
1025,whole wheat flour,flour
1002,can diced tomatoes,
990,flaked coconut,
975,white wine,
975,g/1oz butter,butter
967,garlic salt,
965,rolled oats,
963,finely chopped onion,onion
955,chopped fresh chives,chives
951,chopped fresh thyme,
949,stick  unsalted butter,butter
945,cinnamon,
943,carrot,
933,sea salt,salt
928,tsp salt,salt
902,packages cream cheese,cream cheese
902,can tomato sauce,tomato sauce
895,ice cubes,water
889,red pepper flakes,
888,shallots,
877,distilled white vinegar,white vinegar
868,apple cider vinegar,cider vinegar
867,hot water,water
866,scallions,green onion
854,cherry tomatoes,
853,crushed red pepper flakes,red pepper flakes
847,maple syrup,
839,warm water ,water
837,grated orange peel,orange
836,dried parsley,
830,Italian seasoning,
829,orange,
828,Salt,salt
805,white vinegar,
804,melted butter,butter
800,chopped green onions,green onion
797,pine nuts,pine nut
794,cream of tartar,
793,ground turmeric,
788,whole cloves,
776,molasses,
775,flour tortillas,flour tortilla
768,golden brown sugar,sugar
763,chicken stock,chicken broth
763,shallot,
755,minced fresh parsley,parsley
750,small red onion,
748,sliced almonds,
739,Freshly ground black pepper,
731,dry mustard,pepper
730,plain yogurt,
725,can sweetened condensed milk,
715,dry bread crumbs,
712,chopped fresh dill,
711,rice vinegar,
708,hot pepper sauce,
708,chopped fresh mint,
706,lemons,lemon
706,zucchini,
703,Salt and pepper,salt
701,fresh orange juice,
701,free-range egg,
688,dried rosemary,
679,packed light brown sugar,
678,active dry yeast,
677,chopped fresh rosemary,
673,large egg whites,
671,light brown sugar,
669,can condensed cream of mushroom soup,mushroom soup
669,crumbled feta cheese,
665,dark brown sugar,sugar
661,chilled unsalted butter,
654,SPLENDA® No Calorie Sweetener,
653,egg white,
650,oil,
647,cinnamon stick,cinnamon
645,pinch cayenne pepper,
641,can black beans,
639,pure vanilla extract,
638,vinegar,
637,freshly grated Parmesan cheese,
636,tomato,
634,cumin seeds,
630,golden raisins,
629,dried cranberries,
625,sliced fresh mushrooms,
621,ground cardamom,
619,bread flour,
619,half-and-half,
614,lemon zest,
609,cornmeal,
608,minced onion,
607,Nonstick vegetable oil spray,
606,large onions,
605,brandy,
601,egg yolk,
593,low-salt chicken broth,chicken broth
587,warm water,
575,boneless,
573,dry red wine,
570,freshly ground pepper,
561,medium onions,onion
554,Salt and freshly ground pepper,pepper
550,limes,
549,jalapeno pepper,
549,beef broth,
548,shredded Monterey Jack cheese,
546,fresh mushrooms,mushroom
543,capers,
541,fennel seeds,
538,vanilla bean,
534,can crushed pineapple,pineapple
530,canned low-salt chicken broth,chicken broth
528,slivered almonds,
527,medium carrots,
526,chopped red onion,
525,chopped green bell pepper,
525,seasoned salt,
523,shredded sharp Cheddar cheese,
522,black peppercorns,
520,evaporated milk,
518,plum tomatoes,
514,can tomato paste,
509,prepared mustard,
509,red wine,
507,graham cracker crumbs,
506,large garlic clove,
504,stalk celery,celery
503,spring onions,
502,mushrooms,
500,fresh basil leaves,
499,fish sauce,
498,coarse kosher salt,
494,Pinch of salt,
492,walnuts,
492,icing sugar,sugar
491,cake flour,flour
488,salsa,
487,vegetable broth,
487,caster sugar,
485,pumpkin pie spice,
485,freshly grated nutmeg,
482,bacon,
480,cucumber,
475,firmly packed brown sugar,
475,large carrots,
472,chopped garlic,
472,g/2oz butter,
469,container frozen whipped topping,
468,whole black peppercorns,
467,can evaporated milk,
466,free-range egg yolks,
465,can condensed cream of chicken soup,
462,fresh blueberries,
462,can whole kernel corn,
461,cayenne,
460,diced onion,
460,sprigs fresh thyme,
459,chopped cilantro,
457,dried crushed red pepper,
455,shredded Swiss cheese,
454,banana,
453,dark rum,
453,frozen peas,
453,red-wine vinegar,
452,prepared horseradish,
450,yellow cornmeal,
450,celery ribs,celery
449,coarse salt,
446,large egg yolk,
445,coriander seeds,
444,chopped onions,
443,Filling:,
442,cold milk,
441,ice,
440,bread crumbs,
436,chopped parsley,
436,peanut oil,
435,cooking oil,
432,reduced-sodium soy sauce,
432,g/11oz butter,
431,whole chicken,
430,butter ,
427,bananas,
424,miniature marshmallows,
424,sea salt and freshly ground black pepper,
422,package active dry yeast,
422,creamy peanut butter,
422,pure maple syrup,
421,can kidney beans,
421,chilled whipping cream,
420,package yellow cake mix,
420,fresh-ground black pepper,
420,coconut oil,
416,yellow onion,
415,applesauce,
415,poppy seeds,
415,container sour cream,
415,strawberries,
415,minced fresh ginger root,
413,half-and-half cream,
413,green onion,
407,chopped fresh oregano,
406,Salt and freshly ground black pepper,
405,ground pork,
405,salt and pepper,
404,minced fresh ginger,
403,quick-cooking oats,
402,corn tortillas,
402,cocoa powder,
402,fine sea salt,
401,chopped green onion,
401,chopped green pepper,
400,ground white pepper,
400,red bell peppers,
399,shredded Parmesan cheese,
398,vegetable oil for frying,
398,ground turkey,
396,celery seed,
396,package frozen chopped spinach,
396,chopped fresh tarragon,
396,cinnamon sticks,cinnamon
395,minced peeled fresh ginger,
393,grated lemon zest,
392,drained capers,
391,broccoli florets,
390,tsp baking powder,
389,can chicken broth,
389,pinch ground black pepper,
389,chopped fresh flat-leaf parsley,
387,ice water,
385,dried dill weed,
384,skim milk,
384,ground mustard,
384,red chilli,
383,self-rising flour,
382,sifted all-purpose flour,
381,plain flour,
380,ricotta cheese,
374,pecan halves,
374,large potatoes,
373,quarts water,
371,chopped fresh Italian parsley,
370,sliced green onions,
369,apple juice,
368,fresh raspberries,
366,blueberries,
361,dried marjoram,
361,large carrot,
361,medium zucchini,
359,fresh strawberries,
359,or 4 ice cubes,
357,poultry seasoning,
356,large tomatoes,
356,medium tomatoes,
356,vanilla pod,
355,hamburger buns,
354,sweet potatoes,
353,grated orange zest,
352,hard-cooked eggs,
351,pinch ground nutmeg,
351,caraway seeds,
350,FILLING:,
350,white-wine vinegar,
349,tomato sauce,
347,large tomato,
346,finely grated lemon zest,
345,chopped red bell pepper,
345,pork tenderloin,
345,bittersweet  or semisweet chocolate,
344,low-sodium chicken broth,
344,diced celery,celery
343,double cream,
342,uncooked white rice,
341,pineapple juice,
341,avocado,
340,fresh mint leaves,
339,pecans,
339,sunflower oil,
338,dried minced onion,
338,yellow bell pepper,
338,bunch green onions,
338,white pepper,
337,celery salt,
335,oranges,
333,crushed red pepper,
332,dried sage,
329,coconut milk,
329,bacon strips,
328,dry sherry,
328,boneless skinless chicken breasts,
328,freshly ground black pepper to taste,
325,salt and freshly ground black pepper to taste,
324,can crushed tomatoes,
323,cumin,
320,quick cooking oats,
320,red potatoes,
320,minced shallot,
318,vanilla ice cream,
317,fresh thyme leaves,
316,crumbled blue cheese,
316,Salt and pepper to taste,
316,tomato purée,
314,Parmesan cheese,
314,package instant vanilla pudding mix,
314,Asian sesame oil,
311,green beans,
311,TOPPING:,
310,tsp ground cinnamon,cinnamon
309,sticks  unsalted butter,
308,shredded coconut,
308,gin,
307,unbleached all-purpose flour,
307,dried tarragon,
306,dried currants,
306,fresh green beans,
306,large cloves garlic,
305,finely grated lemon peel,
304,old-fashioned oats,
303,light soy sauce,
303,jalapeno peppers,
303,grated fresh ginger,
302,Topping:,
302,finely chopped red onion,
301,slices bread,
301,red pepper,
300,tsp ground cumin,
299,large red bell pepper,
299,apple cider,
297,spaghetti,
296,coarsely ground black pepper,
296,superfine sugar,
295,chopped fresh sage,
295,large red onion,
294,packed dark brown sugar,
293,ground cayenne pepper,
293,cold butter,
292,quinoa,
291,pinch ground cinnamon,cinnamon
291,vodka,
291,g/31oz caster sugar,
290,lemon extract,
290,smoked paprika,
289,sprigs thyme,
287,squares unsweetened chocolate,
287,medium potatoes,
285,packages active dry yeast,
284,"skinless, boneless chicken breast halves",
284,margarine or butter,
283,small zucchini,
283,hot sauce,
283,small garlic clove,
283,tsp Dijon mustard,
282,corn syrup,
281,hoisin sauce,
281,medium red onion,
280,Kosher salt and freshly ground black pepper,
279,sliced mushrooms,
279,olive or vegetable oil,
279,Olive oil,
278,prepared yellow mustard,
277,garam masala,
276,rice wine vinegar,
276,celery stalks,celery
274,Crust:,
274,shredded carrots,
274,reduced-sodium chicken broth,
272,orange zest,
272,orange marmalade,
272,large free-range eggs,
271,chicken bouillon granules,
270,toasted sesame oil,
269,semisweet chocolate,
268,barbeque sauce,
267,unsweetened applesauce,
267,can stewed tomatoes,
267,cans chicken broth,
265,unflavored gelatin,
265,baking cocoa,
264,g/11oz unsalted butter,
263,green bell peppers,
263,cold unsalted butter,
260,slices white bread,
260,cloves,
260,g/1oz unsalted butter,
259,salt and black pepper to taste,
257,Cajun seasoning,
257,Dressing:,
257,large shallots,
257,dried thyme leaves,
257,half and half,
256,white onion,
255,chopped walnuts ,
255,bourbon,
255,crushed ice,
255,firmly packed light brown sugar,
255,Freshly ground pepper to taste,
253,pumpkin puree,
253,bacon slices,
252,shredded lettuce,
252,head cauliflower,
251,finely chopped walnuts,
250,oyster sauce,
249,finely chopped celery,celery
248,hot pepper sauce ,
248,minced fresh rosemary,
248,large shallot,
247,pork chops,
247,finely chopped garlic,
246,semi-sweet chocolate chips,
246,chopped shallots,
246,tsp ground turmeric,
245,freshly squeezed lemon juice,
244,unsweetened chocolate,
244,raspberries,
244,sherry vinegar,
242,medium tomato,
242,chocolate chips,
241,mustard powder,
241,apple,
241,turmeric,
241,chopped fresh coriander,
240,rum,
239,dried apricots,
239,can mandarin oranges,
239,leek,
238,instant coffee granules,
238,large green bell pepper,
238,thinly sliced green onions,
238,celery rib,celery
238,tsp vanilla extract,
237,can pumpkin puree,
237,tsp cumin seeds,
236,apricot preserves,
236,chopped flat-leaf parsley,
235,sweetened flaked coconut,
235,tsp caster sugar,
234,can garbanzo beans,
234,minced shallots,
234,dried hot red pepper flakes,
233,can coconut milk,
233,Lemon wedges,
233,chilled heavy cream,
231,dried parsley flakes,
231,grape tomatoes,
230,lemon pepper,
230,toasted sesame seeds,
230,fresh spinach,
230,finely grated fresh lemon zest,
229,Freshly ground pepper,
228,chopped almonds,
228,roma  tomatoes,
228,fresh asparagus,
227,radishes,
227,cooked rice,
226,nutmeg,
226,frozen corn,
226,medium carrot,
225,g/11oz caster sugar,
224,can cherry pie filling,
223,oil for frying,
222,Sauce:,
221,eggplant,
221,feta cheese,
221,medium green pepper,
221,freshly grated lemon zest,
221,31fl oz double cream,
219,sprigs fresh rosemary,
219,Dijon-style mustard,
219,Powdered sugar,
219,star anise,
219,knob of butter,
218,sliced fresh strawberries,
218,long-grain white rice,
218,can sliced mushrooms,
218,baby carrots,
218,fat-free milk,
217,Cake:,
217,unbleached all purpose flour,
217,plus 2 tablespoons sugar,
216,chopped tomatoes,
216,package PHILADELPHIA Cream Cheese,
215,chopped carrots,
214,finely chopped pecans,
214,cubes chicken bouillon,
214,vegetable shortening,
214,fine-quality bittersweet chocolate ,
212,chopped nuts,
212,cans tomato sauce,
212,large egg white,
212,clear honey,
211,sweet pickle relish,
211,sweet onion,
211,sliced bacon,
209,"boneless, skinless chicken breasts",
208,anchovy fillets,
208,finely chopped shallot,
207,wheat germ,
207,maraschino cherries,
207,panko bread crumbs,
206,cans diced tomatoes,
206,salmon fillets,
206,stick unsalted butter,
204,pinch garlic powder,
204,tahini,
204,dill weed,
204,piece fresh ginger,
204,tsp olive oil,
203,egg substitute,
203,peeled,
203,sifted confectioners' sugar,
203,whipped cream,
203,free-range egg yolk,
201,fresh parsley,
201,hard-boiled eggs,
200,prepared graham cracker crust,
200,peppermint extract,
200,cracked black pepper,
200,mustard seeds,
199,corn oil,
199,pinch paprika,
198,can pineapple chunks,
198,sea scallops,
198,Hot cooked rice,
197,ripe bananas,
197,confectioners' sugar for dusting,
197,diced red onion,
197,low-sodium soy sauce,
197,bulk pork sausage,
197,arugula,
197,unseasoned rice vinegar,
196,grated Romano cheese,
196,slices Swiss cheese,
196,finely chopped fresh parsley,
196,asparagus,
196,can chopped green chilies,
195,dark corn syrup,
194,chicken,
194,shredded cabbage,
194,thawed COOL WHIP Whipped Topping,
194,"garlic cloves, peeled",
194,5fl oz double cream,
192,large clove garlic,
192,russet potatoes,
192,2% milk,
192,Vegetable oil,
192,reduced-fat sour cream,
192,finely chopped fresh cilantro,
192,tsp ground coriander,
191,salt ,
191,diced red bell pepper,
191,frozen green peas,
191,thinly sliced red onion,
191,Vegetable oil ,
190,dry vermouth,
190,Salad:,
190,free-range egg whites,
189,bittersweet chocolate,
189,package taco seasoning mix,
189,sliced celery,celery
188,almonds,
188,teriyaki sauce,
188,can sliced black olives,
188,tsp sugar,
187,skinless boneless chicken breast halves,
187,can EAGLE BRAND® Sweetened Condensed Milk,
187,g/21oz butter,
186,squares semisweet chocolate,
186,water to cover,
186,reduced-fat mayonnaise,
185,fresh cilantro leaves,
185,minced fresh cilantro,
185,g/21oz caster sugar,
185,7fl oz double cream,
184,cottage cheese,
184,mozzarella cheese,
184,large shrimp,
184,chia seeds,
183,sweetened condensed milk,
183,Dash pepper,
183,agave nectar,
182,dates,
182,can condensed tomato soup,
182,red onions,
182,onion salt,
182,medium red bell pepper,
181,small red potatoes,
181,leeks,
181,baby spinach,
181,minced fresh thyme,
181,grated lime peel,
181,cubed cooked chicken,
180,jar spaghetti sauce,
180,small shallot,
179,sunflower seeds,
179,chicken wings,
179,couscous,
179,sprig fresh thyme,
178,apples - peeled,
178,chicken thighs,
178,finely chopped fresh chives,
177,tomato juice,
177,apples,
177,light mayonnaise,
177,sliced carrots,
177,minced fresh parsley leaves,
177,basil leaves,
176,instant espresso powder,
176,can beef broth,
175,dark soy sauce,
175,flank steak,
175,"unsalted butter, melted",
174,can cream-style corn,
174,package white cake mix,
174,sugar snap peas,
174,snow peas,
174,pinch salt and ground black pepper to taste,
174,rapeseed oil,
173,sweet potato,
173,liquid smoke flavoring,
173,crème fraîche,
172,penne pasta,
172,tequila,
172,oriental sesame oil,
171,miniature semisweet chocolate chips,
171,softened butter,
171,cans black beans,
171,can sliced water chestnuts,
171,Chinese five-spice powder,
171,minced fresh basil,
170,beer,
170,cardamom pods,
169,cold butter or margarine,
168,can artichoke hearts,
168,head garlic,
167,chocolate syrup,
167,shredded reduced-fat Cheddar cheese,
167,BREAKSTONE'S or KNUDSEN Sour Cream,
166,Salt to taste,
166,scallion,
166,almond milk,
165,sherry,
165,Yukon Gold potatoes,
165,can tuna,
165,elbow macaroni,
165,ground lamb,
165,Sour cream,
164,seasoned rice vinegar,
164,small red bell pepper,
164,large yellow onion,
164,Vanilla ice cream,
164,2fl oz double cream,
163,warm milk ,
163,canned pumpkin,
163,walnut halves,
163,seasoned bread crumbs,
163,tsp ground ginger,
163,tsp sesame oil,
162,mirin ,
162,Brussels sprouts,
162,can pinto beans,
162,Ice cubes,
162,chopped chives,
162,g/31oz butter,
161,frozen corn kernels,
161,water ,
161,cooked,
161,can condensed cream of celery soup,
161,grated Parmesan,
161,finely chopped fresh flat-leaf parsley,
161,Sherry wine vinegar,
160,minced red onion,
160,pie shell,
160,boneless pork chops,
160,container ricotta cheese,
160,g/1oz caster sugar,
159,light cream,
159,butterscotch chips,
159,g/2oz caster sugar,
159,cornflour,
158,barbecue sauce,
158,milk chocolate chips,
158,coarsely chopped walnuts,
158,chopped,
158,ripe tomatoes,
158,quart water,
158,chopped fresh mint leaves,
158,oregano,
157,cream,
157,white chocolate chips,
157,yellow squash,
157,ground paprika,
157,mint leaves,
156,rubbed sage,
156,celery stalk,celery
155,small onions,
155,large white onion,
155,butternut squash,
155,garlic,
155,butter or stick margarine,
155,Lime wedges,
155,fresh thyme sprigs,
155,Coarse kosher salt,
154,grated onion,
154,GLAZE:,
154,g/7oz caster sugar,
154,medium free-range eggs,
153,unbaked pie crust,
153,olive oil ,
153,groundnut oil,
152,Glaze:,
152,dash hot pepper sauce,
152,shredded Mexican cheese blend,
152,head cabbage,
152,Safeway SELECT Verdi Olive Oil,
151,package dry onion soup mix,
151,FROSTING:,
151,package spaghetti,
151,dried basil leaves,
151,baby spinach leaves,
151,Pillsbury BEST® All Purpose Flour,
151,tsp bicarbonate of soda,
150,grated carrots,
150,bunch cilantro,
150,package frozen mixed vegetables,
150,goat cheese,
149,fresh bread crumbs,
149,pinch red pepper flakes,
149,ground red pepper,
149,Salt and freshly ground pepper to taste,
149,dash olive oil,
148,cranberry juice,
148,beef stock,
148,package sliced fresh mushrooms,
147,fresh blackberries,
147,"russet potatoes, peeled",
147,g/3oz butter,
146,Frosting:,
146,frozen whipped topping,
146,low-fat milk,
146,can diced tomatoes with green chile peppers,
146,chili sauce,
146,bean sprouts,
146,linguine,
146,finely grated orange peel,
145,large red bell peppers,
145,vegetable stock,
145,lettuce leaves,
145,Chopped fresh parsley,
145,confectioners sugar,
144,apricot jam,
144,soy milk,
144,minced fresh chives,
144,ground thyme,
144,yellow mustard,
144,shredded part-skim mozzarella cheese,
144,fresh cilantro,
144,cubed fully cooked ham,
143,potato,
143,lemon wedges,
143,chopped fresh basil leaves,
143,beef stew meat,
143,double-acting baking powder,
143,Whipped cream,
143,tsp coriander seeds,
142,Cheddar cheese,
142,fresh or frozen cranberries,
142,shredded zucchini,
142,dried oregano leaves,
141,white rice,
141,package instant chocolate pudding mix,
141,parsnips,
141,ears corn,
140,nonfat plain yogurt,
140,bunch fresh cilantro,
140,shrimp,
140,fresh basil,
140,anchovy paste,
140,small green bell pepper,
140,tsp lemon juice,
139,black olives,
139,mustard seed,
139,large zucchini,
139,uncooked long grain rice,
139,olive or canola oil,
139,g/4oz butter,
138,sliced black olives,
138,button mushrooms,
138,simple syrup,
138,fennel bulb,
138,squeeze lemon juice,
138,tsp white wine vinegar,
137,chopped peanuts,
137,seasoning salt,
137,can frozen orange juice concentrate,
137,Granny Smith apples,
137,cashews,
137,small carrot,
137,sea salt to taste,
137,packages PHILADELPHIA Cream Cheese,
137,g/51oz caster sugar,
136,crisp rice cereal,
136,frozen orange juice concentrate,
136,cranberries,
136,cucumbers,
136,saffron threads,
136,soft bread crumbs,
136,ribs celery,celery
136,"carrots, peeled",
135,coconut extract,
135,blue cheese,
135,diced carrots,
135,sweet paprika,
135,finely chopped shallots,
135,green pepper,
135,extra-virgin olive oil ,
135,stick  cold unsalted butter,
134,nonfat dry milk powder,
134,ground mace,
134,chopped dates,
134,loaf French bread,
134,freshly squeezed lime juice,
134,Sherry vinegar,
133,blanched slivered almonds,
133,light rum,
133,mango,
133,g/1oz plain flour,
133,Â˝ lemon,
132,dried cherries,
132,mascarpone cheese,
132,thinly sliced celery,celery
132,diced green bell pepper,
132,avocados,
132,white balsamic vinegar,
132,slices tomato,
132,fine dry bread crumbs,
131,ground chicken,
131,freshly grated orange zest,
131,Salt and black pepper to taste,
131,Lucerne Sweet Cream Butter,
131,tsp sea salt,
130,hazelnuts,
130,dash Worcestershire sauce,
130,medium shrimp,
130,small yellow onion,
130,"cloves garlic, minced",
130,canned low-sodium chicken broth or homemade stock,
130,g/4oz caster sugar,
129,grated fresh ginger root,
129,steak sauce,
129,package elbow macaroni,
129,shredded carrot,
129,grapeseed oil,
129,well-shaken buttermilk,
129,pinch of salt,
128,fresh broccoli florets,
128,chopped dried apricots,
128,freshly grated Parmesan,
127,fennel seed,
127,mixed salad greens,
127,lasagna noodles,